at_id,at_account_id,at_title_id,at_queue_date,at_remove_queued_date,at_rating
135,9,BVJip,1/29/2010,2/1/2010,5
136,23,BVjfN,1/29/2010,1/31/2010,4
137,4,BVl1s,1/29/2010,2/3/2010,1
138,6,ApO1P,1/30/2010,1/31/2010,2
139,13,BVUOL,1/31/2010,2/3/2010,3
140,25,7zpi2,1/31/2010,2/1/2010,5
141,21,BVpLn,2/2/2010,2/8/2010,4
142,15,BVmoC,2/2/2010,2/5/2010,1
143,1,ApREH,2/2/2010,2/5/2010,3
144,7,BVmo2,2/2/2010,2/4/2010,2
145,14,BVj84,2/2/2010,2/5/2010,5
146,2,7op1,2/3/2010,2/4/2010,4
147,18,BVpiC,2/3/2010,2/7/2010,1
148,11,ApQj5,2/3/2010,2/6/2010,3
149,3,BVOHd,2/4/2010,2/5/2010,2
150,20,ApLeZ,2/4/2010,2/7/2010,5
151,10,ApQwE,2/4/2010,2/6/2010,4
152,5,79kH,2/4/2010,2/6/2010,1
153,17,89qCo,2/8/2010,2/11/2010,3
154,22,BVcF5,2/8/2010,2/10/2010,2
155,24,ApMPm,2/8/2010,2/13/2010,5
156,19,ApLaR,2/9/2010,2/10/2010,4
157,12,BVSpZ,2/10/2010,2/13/2010,1
158,16,ApQyD,2/10/2010,2/11/2010,3
159,8,BVWZR,2/10/2010,2/16/2010,2
160,9,BVKsN,2/10/2010,2/11/2010,5
161,23,BVUMt,2/11/2010,2/13/2010,4
162,4,ApMMr,2/11/2010,2/13/2010,1
163,6,ApV1E,2/12/2010,2/15/2010,3
164,13,BVVvt,2/12/2010,2/13/2010,2
165,25,ApOIo,2/12/2010,2/15/2010,5
166,21,7xnyK,2/12/2010,2/14/2010,4
167,15,ApScS,2/12/2010,2/14/2010,1
168,1,5Jxb,2/14/2010,2/18/2010,3
169,7,ApT41,2/15/2010,2/17/2010,2
170,14,BVcYo,2/15/2010,2/20/2010,5
171,2,ApQyO,2/15/2010,2/16/2010,4
172,18,BVm1r,2/15/2010,2/19/2010,1
173,11,BVeC7,2/17/2010,2/19/2010,3
174,3,BVPH7,2/17/2010,2/19/2010,2
175,20,BVp4H,2/18/2010,2/19/2010,5
176,10,7zpVU,2/18/2010,2/21/2010,4
177,5,88B5n,2/18/2010,2/22/2010,1
178,17,BVY9u,2/18/2010,2/20/2010,3
179,22,cZvDN,2/18/2010,2/21/2010,2
180,24,BVOAA,2/19/2010,2/21/2010,5
181,19,BVJGZ,2/20/2010,2/23/2010,4
182,12,ApQhu,2/20/2010,2/23/2010,1
183,16,ApRDD,2/21/2010,2/27/2010,3
184,8,ca2Y4,2/21/2010,2/24/2010,2
185,9,BVWgd,2/22/2010,2/27/2010,5
186,23,8gccl,2/22/2010,2/25/2010,4
187,4,kYww,2/23/2010,2/25/2010,1
188,6,kExv,2/23/2010,2/26/2010,3
189,13,ca4aH,2/23/2010,2/27/2010,2
190,25,BVV18,2/23/2010,2/24/2010,5
191,21,8Wiji,2/23/2010,2/24/2010,4
192,15,BVRjY,2/24/2010,2/25/2010,1
193,1,8YWok,2/24/2010,2/25/2010,3
194,7,ApNxH,2/24/2010,2/25/2010,2
195,14,BVO79,2/24/2010,2/27/2010,5
196,2,BVamp,2/25/2010,2/28/2010,4
197,18,ApO3S,2/25/2010,2/28/2010,1
198,11,ApUeV,2/25/2010,3/1/2010,3
199,3,ApUxt,2/26/2010,3/3/2010,2
200,20,BVmum,2/27/2010,3/1/2010,5
201,10,ApMSd,2/27/2010,2/28/2010,4
202,5,BVSeQ,2/28/2010,3/1/2010,1
203,17,BVYhR,2/28/2010,3/1/2010,3
204,22,ApTq7,2/28/2010,3/3/2010,2
205,24,BVSfC,2/28/2010,3/3/2010,5
206,19,ApRLQ,2/28/2010,3/3/2010,4
207,12,BVlqq,3/2/2010,3/7/2010,1
208,16,btpaU,3/2/2010,3/5/2010,3
209,8,BVURe,3/2/2010,3/7/2010,2
210,9,BVWCp,3/3/2010,3/8/2010,5
211,23,BVexf,3/3/2010,3/6/2010,4
212,4,BVegD,3/3/2010,3/6/2010,1
213,6,BVZay,3/3/2010,3/5/2010,3
214,13,ca5Vn,3/4/2010,3/7/2010,2
215,25,BVcI3,3/4/2010,3/5/2010,5
216,21,cZzq2,3/4/2010,3/8/2010,4
217,15,ApMDl,3/8/2010,3/10/2010,1
218,1,ca4lO,3/8/2010,3/12/2010,3
219,7,BVrJj,3/9/2010,3/11/2010,2
220,14,ApQxx,3/9/2010,3/10/2010,5
221,2,ku8I,3/9/2010,3/10/2010,4
222,18,kuO4,3/9/2010,3/10/2010,1
223,11,BVV15,3/10/2010,3/11/2010,3
224,3,ApQwE,3/10/2010,3/12/2010,2
225,20,ApM2E,3/10/2010,3/13/2010,5
226,10,BVQh7,3/10/2010,3/12/2010,4
227,5,BVOIb,3/14/2010,3/16/2010,1
228,17,BVspV,3/14/2010,3/18/2010,3
229,22,ApRon,3/16/2010,3/17/2010,2
230,24,8hiAb,3/16/2010,3/22/2010,5
231,19,BVqlK,3/16/2010,3/22/2010,4
232,12,caBv0,3/16/2010,3/18/2010,1
233,16,BVQ9w,3/16/2010,3/18/2010,3
234,8,BVUh0,3/17/2010,3/19/2010,2
235,9,ApRSv,3/17/2010,3/18/2010,5
236,23,BVepY,3/17/2010,3/20/2010,4
237,4,BVjS6,3/17/2010,3/20/2010,1
238,6,ApSL6,3/18/2010,3/21/2010,3
239,13,ApUWV,3/18/2010,3/20/2010,2
240,25,cZwJQ,3/18/2010,3/20/2010,5
241,21,ApLQB,3/18/2010,3/19/2010,4
242,15,7mYH,3/18/2010,3/21/2010,1
243,1,BVTg8,3/19/2010,3/24/2010,3
244,7,BVsZW,3/19/2010,3/20/2010,2
245,14,BVWTZ,3/20/2010,3/21/2010,5
246,2,ApQvf,3/20/2010,3/23/2010,4
247,18,BVU9D,3/20/2010,3/22/2010,1
248,11,BVUgv,3/20/2010,3/21/2010,3
249,3,ApUMM,3/20/2010,3/25/2010,2
250,20,BVkqs,3/22/2010,3/28/2010,5
