title_id,title_name,title_type,title_synopsis,title_avg_rating,title_release_year,title_runtime,title_rating,title_bluray_available,title_date_modified
1EGwG,Blues Brothers 2000,Movie,"Eighteen years after the events of the first Blues Brothers; Elwood Blues (Dan Akroyd) is released from prison. Despite the absence of his late brother; Jake (John Belushi); Elwood sets out to reassemble the Blues Brothers Band to help a wayward orphan (<a href=""http://www.netflix.com/RoleDisplay/J__Evan_Bonifant/20000798"">J. Evan Bonifant</a>). Along the way; he enlists bartender ""Mighty"" Mack McTeer (<a href=""http://www.netflix.com/RoleDisplay/John_Goodman/35688"">John Goodman</a>) to fill in for Jake and jams with <a href=""http://www.netflix.com/RoleDisplay/James_Brown/11855"">James Brown</a>; <a href=""http://www.netflix.com/RoleDisplay/Aretha_Franklin/31687"">Aretha Franklin</a>; Eric Clapton; BB King and Blues Traveler.",3,1998,7440,PG-13,0,2009-10-07 05:06:22
1EGzD,Sphere,Movie,When a team of scientists begins to investigate a giant spacecraft that's come to rest 1;000 feet under the sea; they discover that it not only appears to have come from the future but that it contains a mysterious sphere.,3.2,1998,8040,PG-13,1,2010-11-13 08:09:15
1EGzN,Senseless,Movie,Going to school and working several jobs to support his family is bringing down Darryl Witherspoon. Things take a crazy turn when he participates in a medical study for extra cash and the experimental drug he's taking blows his senses out of whack.,3.3,1998,5700,R,0,2010-11-05 22:12:50
1EHDh,The Man in the Iron Mask,Movie,With the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother; Philippe; remains imprisoned; the famed Three Musketeers -- and their friend; D'Artagnan -- reunite to abduct Louis and replace him with Philippe.,3.5,1998,7860,PG-13,0,2010-10-28 21:37:06
1EHL7,Primary Colors,Movie,When Newsweek reporter Joe Klein was unmasked as the anonymous author of Primary Colors -- a thinly veiled take on Bill Clinton's campaign for the 1992 Democratic presidential nomination -- heads (and pages) turned.,3.2,1998,8400,R,0,2010-09-15 07:12:34
1EJFL,City of Angels,Movie,When guardian angel Seth -- who invisibly watches over the citizens of Los Angeles -- becomes captivated by Maggie; a strong-willed heart surgeon; he ponders trading in his pure; otherworldly existence for a mortal life with his beloved.,3.6,1998,6840,PG-13,0,2010-07-15 18:23:30
1EJKq,Homegrown,Movie,After their boss; Malcolm; gets killed; bumbling trio of marijuana farmers Jack; Carter and Harlan figure they might as well take over Malcolm's lush business and cash in on $5 million worth of product.,3.3,1998,6120,R,0,2010-11-12 18:16:52
1EJNg,Lost in Space,Movie,In director Stephen Hopkins's reboot of the 1960s sci-fi series; the prospects for continuing life on Earth in the year 2058 are grim. So the Robinsons are launched into space to colonize Alpha Prime; the only other inhabitable planet in the galaxy.,3,1998,7800,PG-13,1,2010-10-18 05:23:41
1EJPn,My Giant,Movie,While on business in Eastern Europe; opportunistic talent agent Sammy inadvertently finds himself in the company of a 7-foot; 7-inch Romanian giant named Max (played by professional hoopster Gheorghe Muresan).,3,1998,6240,PG,0,2010-06-14 21:05:56
1EJQ4,The Newton Boys,Movie,Four Texan brothers ignite a crime spree in the 1920s; robbing more than 200 banks across the nation -- without ever killing anyone. In a career highlight; the unexpectedly compassionate team pulls off the largest train robbery in U.S. history.,3.3,1998,7320,PG-13,0,2010-11-08 23:34:32
1EJTS,Shadrach,Movie,An elderly black man (and ex-slave) returns to the Virginia plantation where he was born -- to die. There; he encounters the plantation's new occupants; a family of struggling white farmers.,3.3,1998,5400,PG-13,0,2010-01-14 02:07:45
1EJUC,Sour Grapes,Movie,"""Seinfeld"" co-creator Larry David directed this quirky comedy about the erosion of family values. While vacationing in Atlantic City; N.J.; cousins Richie and Evan court Lady Luck without much to show for it.",2.9,1998,5880,R,0,2010-05-11 05:11:07
1EJXe,Wild Things,Movie,When guidance counselor Sam Lombardo rejects the advances of teen-socialite Kelly Van Ryan; she accuses him of rape. In short order Sam's suspended by the school; rejected by the country club; and fighting to get his life back.,3.4,1998,6480,R,1,2010-08-25 23:35:30
1EJXv,Without Limits,Movie,"This biopic stars Billy Crudup as Steve ""Pre"" Prefontaine; the Olympic runner who overcame a physical abnormality to become the top American runner in the early 1970s.",3.7,1998,7080,PG-13,0,2010-10-07 21:11:59
1Iyn3,Star Kid,Movie,Introverted seventh-grader Spencer Griffith -- ignored by his father; belittled by his teenage sister and taunted by the school bully -- goes from zero to hero when he finds an alien cybersuit that needs a biotic host.,3.2,1997,6060,PG,0,2010-07-19 18:04:48
53SI,The 'Burbs,Movie,When secretive new neighbors move in next door; suburbanite Ray Peterson and his friends (Bruce Dern and Rick Ducommun) let their paranoia get the best of them as they start to suspect the newcomers of evildoings and commence an investigation.,3.5,1989,6120,PG,0,2010-11-11 19:24:46
53t2,1941,Movie,In the days after the Japanese attack on Pearl Harbor; panic sets in among California's citizens; who imagine their shores as the next target. Military and civilian defenders of the West Coast embark on self-appointed missions to protect the nation.,3.3,1979,8760,PG,0,2010-10-18 07:21:02
54Di,2010: The Year We Make Contact,Movie,In this stunning sequel to 2001: A Space Odyssey; ex-NASA chief Heywood Floyd helms a U.S.-Soviet mission of scientists trying to rendezvous with the abandoned Discovery spacecraft to reactivate the homicidal HAL 9000 computer and learn the truth.,3.5,1984,6960,PG,1,2010-07-12 21:17:45
54vn,9 1/2 Weeks,Movie,In director Adrian Lyne's erotic drama; art gallery worker Elizabeth and commodities broker John become involved in a steamy relationship based on sex and fantasy -- and must eventually face consequences as the reality of their affair takes hold.,3.2,1986,7080,NR,0,2010-09-24 17:14:24
55h4,About Last Night...,Movie,"This definitive Brat Pack movie -- an adaptation of David Mamet's play Sexual Perversity in Chicago -- stars Rob Lowe and Demi Moore as two veterans of the Chicago singles scene trying their best to get comfortable with the ""c"" word: commitment.",3.2,1986,6780,R,1,2010-11-12 18:14:48
55kx,Above the Law,Movie,In this gritty action thriller from director Andrew Davis; martial-arts expert and Chicago vice cop Nico Toscani (Steven Seagal; who also cowrote the script) takes on CIA operatives who are allowing drug trafficking into North America.,3.2,1988,5940,R,1,2010-07-12 21:17:45
55pg,Absence of Malice,Movie,Journalistic ethics come under fire in this newspaper drama in which a novice reporter at a Miami daily becomes a pawn in the investigation of a liquor distributor suspected of being involved in a mob murder.,3.6,1981,6960,PG,0,2010-11-12 18:16:52
56iF,Addicted to Love,Movie,Sam isn't about to jettison his relationship with Linda; even after she takes up with suave Frenchman Anton. So; Sam does the logical thing and moves into an abandoned building across the street... to spy!,3.2,1997,5940,R,0,2010-01-14 22:06:46
56Kb,Across the Moon,Movie,Looking to start life anew; two disparate women -- Carmen and Kathy -- leave Los Angeles behind to be near their boyfriends; who are serving time in a Mojave Desert prison.,2.3,1994,5220,R,0,2010-03-18 18:52:39
56T4,Action Jackson,Movie,Two-fisted; Motor City cop Jericho Jackson locks horns with Peter Dellaplane; an auto tycoon who's methodically eliminating the union's big wheels in a political power grab.,2.7,1988,5700,R,0,2010-07-12 21:17:45
57DO,Adventures in Babysitting,Movie,Chris Parker agrees to baby-sit for the Andersons after her boyfriend stands her up; but it's hardly the boring night she expected. Chris takes her young charges long on an emergency errand to downtown Chicago.,3.6,1987,6120,PG-13,0,2010-08-12 18:04:51
5a30,The Breakfast Club,Movie,In writer-director John Hughes's seminal 1980s Brat Pack film; the athlete; the brain; the criminal; the princess and the basket case break through the social barriers of high school during Saturday detention.,4,1985,5520,R,1,2010-10-22 07:09:29
5aaU,A Bridge Too Far,Movie,Directed by Richard Attenborough; this BAFTA-winning wartime drama details a pivotal day in 1944 when an Allied task force tried -- and failed -- to win World War II by seizing control of key bridges in Holland.,3.7,1977,10560,PG,1,2010-09-01 09:21:09
5aL6,Brewster's Millions,Movie,Washed-up baseball player Montgomery Brewster learns he's inherited a $300 million fortune from his deceased; rich uncle. To get the cash; however; Brewster must spend $30 million within 30 days -- and have absolutely nothing to show for it.,3.5,1985,6120,PG,0,2010-10-17 09:12:23
5as5,Broadcast News,Movie,In James L. Brooks's Oscar-nominated romantic comedy; three ambitious workaholics are set loose in a network TV newsroom; where their professional and personal lives become hopelessly cross-wired.,3.5,1987,7920,R,0,2010-11-07 07:08:22
5AXi,The Affair,Movie,"Bad experiences have led songwriter Courtney Patterson (<a href=""http://www.netflix.com/RoleDisplay/Natalie_Wood/100674"">Natalie Wood</a>) -- crippled by polio -- to become cautious and skeptical of the kindness of strangers. When attorney Marcus Simon (<a href=""http://www.netflix.com/RoleDisplay/Robert_Wagner/96518"">Robert Wagner</a>) falls head over heels in love with her; however; he's determined to break down the emotional walls she's constructed so that they can both have a chance at love. <a href=""http://www.netflix.com/RoleDisplay/Gilbert_Cates/15401"">Gilbert Cates</a> directed this made-for-TV movie.",2.2,1973,4440,PG,0,2010-09-17 15:40:47
5b08,Broken Arrow,Movie,When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers; the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot; Riley Hale; is the military's only hope for getting them back.,3.3,1996,6480,R,1,2010-10-25 22:05:51
5bCa,A Bronx Tale,Movie,In this evocative slice-of-life film; a Bronx boy grows to adulthood worshipping disparate heroes: his hardworking father; who drives a city bus; and the neighborhood mob boss; who becomes a kind of surrogate dad.,3.9,1993,7320,R,0,2009-10-07 05:06:22
5cAq,Bull Durham,Movie,"The perennially pitiful Durham Bulls ink pitching phenom ""Nuke"" LaLoosh; a gifted but undisciplined rookie; in hopes that he'll usher the team to victory. But it's up to seasoned bush-league catcher ""Crash"" Davis to keep him in line.",3.6,1988,6480,R,1,2010-08-03 07:05:28
5cJs,Bullets Over Broadway,Movie,A hack 1920s playwright uses a mobster to finance his newest play. But when the gangster's bodyguard starts rewriting the play to make it more believable; he shows more talent than the play's original author.,3.4,1994,5880,R,0,2010-03-24 18:11:06
5CQx,Albino Alligator,Movie,"<a href=""http://www.netflix.com/RoleDisplay/Kevin_Spacey/87567"">Kevin Spacey</a> made his directing debut with this edgy crime drama about a trio of small-time hoods (<a href=""http://www.netflix.com/RoleDisplay/Matt_Dillon/24637"">Matt Dillon</a>; <a href=""http://www.netflix.com/RoleDisplay/Gary_Sinise/86175"">Gary Sinise</a> and <a href=""http://www.netflix.com/RoleDisplay/William_Fichtner/29825"">William Fichtner</a>) fleeing after a bungled robbery in New Orleans. They hole up in a basement bar; taking the five people inside hostage while trying to determine their next move as the feds and a Special Weapons and Tactics team swarm outside. The great cast includes <a href=""http://www.netflix.com/RoleDisplay/Faye_Dunaway/26255"">Faye Dunaway</a>; <a href=""http://www.netflix.com/RoleDisplay/Joe_Mantegna/58882"">Joe Mantegna</a> and <a href=""http://www.netflix.com/RoleDisplay/Viggo_Mortensen/65982"">Viggo Mortensen</a>.",3,1997,5820,R,0,2010-08-14 09:54:47
5cVd,Burglar,Movie,When ex-cat burglar Bernice Rhodenbarr inadvertently witnesses a murder; she enlists help from her friends; wacko poodle-groomer Carl and drunken floozie Frankie (Elizabeth Ruscio); to help solve the crime and prove Bernice's innocence.,3.1,1987,6120,R,0,2010-11-06 08:17:54
5DNu,All of Me,Movie,Just before stubborn millionaire Edwina Cutwater dies; she asks her uptight lawyer; Roger Cobb; to amend her will so that her soul will pass to the young; vibrant Terry Hoskins -- but the spiritual transference goes awry.,3.5,1984,5580,PG,0,2009-12-10 20:29:45
5dO0,Caddyshack,Movie,All hell breaks loose at an exclusive golf course when a rich land developer wants to convert the swanky country club into a condo community and a psychotic greenskeeper launches an all-out war against a relentless gopher.,3.8,1980,5940,R,1,2010-11-10 17:40:31
5DVD,All the President's Men,Movie,The film that launched a thousand journalism school students; All the President's Men chronicles how the work of reporters Bob Woodward and Carl Bernstein contributed to the public downfall of President Richard M. Nixon.,3.9,1976,8340,PG,0,2010-10-01 07:10:26
5eAu,Camilla,Movie,Camilla is a heartwarming comedy about two women who become fast friends and hit the road for the adventure of a lifetime. A confused husband; a desperate son; and a long-lost love frantically try to track them down.,3.2,1994,5460,PG-13,0,2010-10-02 07:12:56
5ebW,The Cannonball Run II,Movie,Burt Reynolds reprises his role as J.J. McClure in this star-studded sequel to the original cross-country adventure.,3.1,1984,6480,PG,0,2010-06-18 00:00:23
5EGO,Altered States,Movie,Harvard scientist Eddie Jessup's mind-altering experiments on himself; involving a hallucinatory drug and an isolation chamber; get out of control when his handiwork shuttles him back and forth on the evolutionary spectrum -- from human to ape-man.,3.4,1980,6240,R,0,2010-11-01 07:11:00
5ENc,Always,Movie,Directed by Steven Spielberg; this affecting remake of A Guy Named Joe stars Richard Dreyfuss as brash Pete Sandich; a firefighting pilot who dies in the line of duty but returns as a guardian angel to fledgling aviator Ted Baker.,3.6,1989,7380,PG,0,2010-09-04 16:51:28
5EUZ,Amadeus,Movie,F. Murray Abraham earned a Best Actor Oscar for his imperious performance as Antonio Salieri; a mediocre composer whose churlish young rival; Wolfgang Amadeus Mozart; wins immortality with his musical genius.,4,1984,10800,R,1,2010-08-31 18:36:26
5eVh,Candyman,Movie,While researching urban myths; grad student Helen Lyle learns about the Candyman; a hook-handed creature who's said to haunt a Chicago housing project. Based on a Clive Barker story.,3.2,1992,5940,R,0,2010-10-01 07:10:26
5fdd,Carlito's Way,Movie,Sprung from prison on a technicality; Carlito Brigante vows to use his unexpected second chance to his best advantage. But every time he tries to get out of the rackets; the bad guys pull him back in.,3.8,1993,8640,R,1,2010-09-15 07:12:34
5FgI,The American President,Movie,Widowed U.S. president Andrew Shepherd; one of the world's most powerful men; can have anything he wants -- and what he covets most is Sydney Ellen Wade; a Washington lobbyist.,3.8,1995,6900,PG-13,0,2010-08-17 18:01:13
5fkw,Carnal Knowledge,Movie,Mike Nichols directs a sterling cast in this trailblazing film; which chronicles the sexual mores and escapades of two college pals -- loathsome misogynist Jonathan and shy; neurotic Sandy -- over two decades.,3.4,1971,5880,R,0,2010-07-31 00:28:23
5fqO,Carnosaur,Movie,"A brilliant geneticist (<a href=""http://www.netflix.com/RoleDisplay/Diane_Ladd/52040"">Diane Ladd</a>) plans to unleash a deadly virus on the world's population in order to rid Earth of humans and repopulate the planet with the new strain of dinosaurs she's developed. A security guard (Harrison Page) and an environmentalist (Jennifer Runyon) are the only ones who stand in her way in this camp classic produced by B movie king Roger Corman and based on the novel by John Brosnan.",2.4,1993,5340,R,0,2009-10-07 05:06:22
5FSD,American Flyers,Movie,Sports physician Marcus convinces his estranged brother David to train and compete in a long-distance bicycle race across the Colorado Rockies.,3.5,1985,6780,PG-13,0,2010-10-17 21:13:36
5fSP,The Spitfire Grill,Movie,Just-out-of-jail Percy Talbott lands in idyllic Gilead; Maine; and with the local sheriff's help; she finds employment and a place to stay at the Spitfire Grill. Percy develops a kinship with crotchety owner Hannah and co-worker Shelby.,3.7,1996,6960,PG-13,0,2010-11-01 23:20:39
5fyP,Carrie,Movie,"Carrie may be ostracized; but the shy teen has the ability to move objects with her mind. So when the high school ""in crowd"" torments her with a sick joke at the prom; she lashes out with devastating -- and deadly -- power.",3.5,1976,5820,R,1,2010-11-01 07:11:00
5Gau,Monty Python's And Now for Something Completely Different,Movie,Graham Chapman; John Cleese; Eric Idle; Terry Jones; Michael Palin and Terry Gilliam provide a hilarious romp through their madcap minds in this compilation of the best sketches from their hit television show.,3.9,1971,5400,PG,0,2010-07-01 07:07:54
5gvP,Cat on a Hot Tin Roof,Movie,This 1984 production has Jessica Lange and Tommy Lee Jones taking on Tennessee Williams's much-admired play; with Lange as the seductive but troubled Maggie and Jones as the distant and aptly named Brick.,3.7,1984,8640,NR,0,2010-11-02 17:19:43
5GYj,And God Created Woman,Movie,Director Roger Vadim updates his 1956 film with Rebecca De Mornay replacing Brigette Bardot as the femme fatale in this tale about a woman who uses her considerable charms to get a fresh start in life.,2.5,1987,5880,R,0,2010-10-25 15:10:31
5hlm,Chains of Gold,Movie,"<a href=""http://www.netflix.com/RoleDisplay/John_Travolta/93470"">John Travolta</a> stars as Scott Barnes; a social worker who tries to stop a group of teenagers from being pulled into a gang of drug dealers in this made-for-TV movie. <a href=""http://www.netflix.com/RoleDisplay/Joseph_Lawrence/30015696"">Joey Lawrence</a> plays Tommy; a teenager trying to get out of gang life; who motivates Barnes to take action when the police won't get involved. In an effort to help the teen; the social worker risks his own life by posing as a dealer and entering the gang. <a href=""http://www.netflix.com/RoleDisplay/Marilu_Henner/41073"">Marilu Henner</a> also stars.",2.5,1991,5700,NR,0,2010-01-16 18:17:07
5hwm,The Chamber,Movie,Idealistic young attorney Adam Hall takes on the death row clemency case of his unrepentant Klansman grandfather; Sam Cayhall; in this big-screen adaptation of a John Grisham novel.,3.4,1996,6720,R,0,2010-01-13 08:45:08
5i82,Chances Are,Movie,A celestial boo-boo sends soul-in-limbo Louie Jeffries into the body of Alex Finch in this heavenly romantic comedy. Louie lies dormant until Alex starts dating Miranda -- the daughter of Louie's widow; Corinne.,3.4,1989,6480,PG,0,2010-06-14 21:05:56
5IeA,Arachnophobia,Movie,When Dr. Ross Jennings moves to a small California town; people start dropping dead all around him -- and the killer just might be a rare arachnid imported in a coffin from Venezuela.,3.3,1990,6540,PG-13,0,2010-11-01 19:10:19
5iIe,Chaplin: The Movie,Movie,Through flashbacks and other nonlinear devices; director Richard Attenborough recounts comic icon Charlie Chaplin's poignant journey through triumph; failure; infamy and government persecution. Robert Downey's performance earned an Oscar nomination.,3.8,1992,8700,PG-13,0,2010-10-03 03:09:07
5Ilc,Aria,Movie,Ten groundbreaking directors were given a free hand in this omnibus film. Their only requirement: Each short film had to be based on an operatic aria.,2.6,1987,5460,R,0,2010-09-15 07:12:34
5IrE,Armitage III: Poly-Matrix,Movie,In the year 2179; Earth is populated by humans; robots and illegal humanoid robots. The illegals live undetected among the population; until one powerful man vows to destroy them. Naomi Armitage is a deadly cyber-punk Martian cop in hot pants.,3.1,1996,5400,NR,0,2010-07-27 18:35:07
5IWN,Apocalypse Now,Movie,"Based on Joseph Conrad's Heart of Darkness; the story follows Captain Willard as he journeys upriver in search of the mysterious -- and completely insane -- Colonel Kurtz. His mission: terminate Kurtz -- ""with extreme prejudice.""",4,1979,8820,R,0,2010-11-13 08:09:15
5IWo,Apollo 13,Movie,Technical troubles scuttle the Apollo 13 lunar mission in 1971; risking the lives of astronaut Jim Lovell and his crew in director Ron Howard's chronicle of this true-life story; which turns a failed journey into a thrilling saga of heroism.,4,1995,8400,PG,1,2010-05-12 17:40:47
5JMa,The Associate,Movie,When Laurel learns that her less-smart and sexist protégé; Frank; is promoted; she quits to start her own company -- only to find out that the male-dominated Wall Street world can't take an African American woman seriously.,3.3,1996,6840,PG-13,0,2010-07-30 00:30:13
5Jxb,Awakenings,Movie,Based on the true story; medical researcher Dr. Malcolm Sayer attempts to treat a group of patients who've laid comatose in a Bronx hospital for 30 years. Sayer prescribes an experimental drug; and it works.,3.8,1990,7200,PG-13,0,2010-11-12 18:14:48
5KJH,Backdraft,Movie,They say a blast of flames can take a life... and hide a secret. But now firemen brothers Brian and Stephen McCaffrey are battling each other over past slights while trying to stop an arsonist with a diabolical agenda from torching Chicago.,3.7,1991,8100,R,0,2010-10-18 07:21:02
5KLw,Bad Boys,Movie,Miami narcotics cops -- wild; single Mike Lowrey and mild; married Marcus Burnett -- are hot on the trail of master crook Fouchet; who's snatched $100 million worth of heroin.,3.7,1995,7140,R,1,2010-10-18 09:12:09
